href,timeslots,prices,n_timeslots,n_prices,match,timeRangeInHrs,priceInDollars
https://www.dayuse.sg/hotels/singapore/ywca-fort-canning,"['10:00 AM - 5:00 PM', '11:00 AM - 6:00 PM']","['SGD\xa070', 'SGD\xa070']",2,2,Yes,"[7.0, 7.0]","[['70'], ['70']]"
https://www.dayuse.sg/hotels/singapore/parkroyal-collection-pickering-singapore,"['8:00 AM - 7:00 PM', '9:00 AM - 5:00 PM']","['SGD\xa0175', 'SGD\xa0155']",2,2,Yes,"[11.0, 8.0]","[['175'], ['155']]"
https://www.dayuse.sg/hotels/singapore/park-hotel-alexandra,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/ascott-raffles-place-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/st-signature-jalan-besar-sg-clean-staycation-approved,"['12:00 AM - 8:00 AM', '9:00 AM - 4:00 PM', '10:00 AM - 3:00 PM', '5:00 PM - 10:00 PM', '6:00 PM - 12:00 AM']","['SGD\xa055', 'SGD\xa060', 'SGD\xa075', 'SGD\xa080', 'SGD\xa058', 'SGD\xa063', 'SGD\xa058', 'SGD\xa063', 'SGD\xa075', 'SGD\xa080']",5,10,No,"[8.0, 7.0, 5.0, 5.0, -18.0]","[['55'], ['60'], ['75'], ['80'], ['58'], ['63'], ['58'], ['63'], ['75'], ['80']]"
https://www.dayuse.sg/hotels/singapore/hotel-soloha-at-chinatown-sg-clean,"['8:00 AM - 6:00 PM', '12:00 PM - 9:00 PM']","['SGD\xa075', 'SGD\xa085', 'SGD\xa075', 'SGD\xa085']",2,4,No,"[10.0, 9.0]","[['75'], ['85'], ['75'], ['85']]"
https://www.dayuse.sg/hotels/singapore/aqueen-hotel-paya-lebar-sg-clean,"['8:00 AM - 6:00 PM', '8:00 AM - 12:00 PM', '12:00 PM - 6:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa095', 'SGD\xa050', 'SGD\xa060', 'SGD\xa070', 'SGD\xa065', 'SGD\xa075', 'SGD\xa085', 'SGD\xa065', 'SGD\xa075', 'SGD\xa085']",4,10,No,"[10.0, 4.0, 6.0, 6.0]","[['95'], ['50'], ['60'], ['70'], ['65'], ['75'], ['85'], ['65'], ['75'], ['85']]"
https://www.dayuse.sg/hotels/singapore/copthorne-king-s-hotel-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/intercontinental-singapore-sg-clean,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/holiday-inn-singapore-orchard-city-centre,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/porcelain-hotel-by-jl-asia,"['8:00 AM - 1:00 PM', '9:00 AM - 2:00 PM', '10:00 AM - 4:00 PM', '12:00 PM - 5:00 PM', '4:00 PM - 8:00 PM', '7:00 PM - 11:00 PM']","['SGD\xa051', 'SGD\xa051', 'SGD\xa065', 'SGD\xa070', 'SGD\xa075', 'SGD\xa065', 'SGD\xa070', 'SGD\xa075', 'SGD\xa055', 'SGD\xa065', 'SGD\xa075', 'SGD\xa055', 'SGD\xa065', 'SGD\xa075']",6,14,No,"[5.0, 5.0, 6.0, 5.0, 4.0, 4.0]","[['51'], ['51'], ['65'], ['70'], ['75'], ['65'], ['70'], ['75'], ['55'], ['65'], ['75'], ['55'], ['65'], ['75']]"
https://www.dayuse.sg/hotels/singapore/dusit-thani-laguna-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/park-avenue-rochester-sg-clean,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/royal-plaza-on-scotts,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/hotel-nuve-steller,"['8:00 AM - 12:00 PM', '12:00 PM - 6:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa050', 'SGD\xa065', 'SGD\xa065']",3,3,Yes,"[4.0, 6.0, 6.0]","[['50'], ['65'], ['65']]"
https://www.dayuse.sg/hotels/singapore/grand-mercure-singapore-roxy,['12:00 PM - 6:00 PM'],"['SGD\xa080', 'SGD\xa080', 'SGD\xa0100']",1,3,No,[6.0],"[['80'], ['80'], ['100']]"
https://www.dayuse.sg/hotels/singapore/the-quay-hotel-sg-clean,"['6:00 AM - 11:00 AM', '9:00 AM - 6:00 PM', '12:00 PM - 5:00 PM', '6:00 PM - 12:00 AM']","['SGD\xa070', 'SGD\xa080', 'SGD\xa090', 'SGD\xa0100', 'SGD\xa090', 'SGD\xa0100', 'SGD\xa070', 'SGD\xa080', 'SGD\xa090', 'SGD\xa0100', 'SGD\xa070', 'SGD\xa080', 'SGD\xa090', 'SGD\xa0100']",4,14,No,"[5.0, 9.0, 5.0, -18.0]","[['70'], ['80'], ['90'], ['100'], ['90'], ['100'], ['70'], ['80'], ['90'], ['100'], ['70'], ['80'], ['90'], ['100']]"
https://www.dayuse.sg/hotels/singapore/changi-cove,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/hotel-calmo-bugis,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/parkroyal-collection-marina-bay,['8:00 AM - 7:00 PM'],['SGD\xa0150'],1,1,Yes,[11.0],[['150']]
https://www.dayuse.sg/hotels/singapore/grand-copthorne-waterfront-hotel-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/novotel-singapore-on-stevens,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/yotelair-singapore-changi-sg-clean,"['8:00 AM - 2:00 PM', '8:00 AM - 12:00 PM', '10:00 AM - 4:00 PM', '10:00 AM - 2:00 PM', '2:00 PM - 8:00 PM', '2:00 PM - 6:00 PM', '5:00 PM - 11:00 PM']","['SGD\xa0110', 'SGD\xa090', 'SGD\xa0110', 'SGD\xa090', 'SGD\xa0110', 'SGD\xa090', 'SGD\xa0110']",7,7,Yes,"[6.0, 4.0, 6.0, 4.0, 6.0, 4.0, 6.0]","[['110'], ['90'], ['110'], ['90'], ['110'], ['90'], ['110']]"
https://www.dayuse.sg/hotels/singapore/park-hotel-clarke-quay,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/aqueen-heritage-hotel-little-india,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/relc-international-hotel,"['8:00 AM - 6:00 PM', '10:00 AM - 8:00 PM']","['SGD\xa090', 'SGD\xa0130', 'SGD\xa095', 'SGD\xa0140']",2,4,No,"[10.0, 10.0]","[['90'], ['130'], ['95'], ['140']]"
https://www.dayuse.sg/hotels/singapore/30-bencoolen,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/j8-hotel-sg-clean,"['9:00 AM - 1:00 PM', '2:00 PM - 6:00 PM', '7:00 PM - 11:00 PM']","['SGD\xa066', 'SGD\xa060', 'SGD\xa060']",3,3,Yes,"[4.0, 4.0, 4.0]","[['66'], ['60'], ['60']]"
https://www.dayuse.sg/hotels/singapore/reddoorz-near-marine-parade-central-sg-clean,"['8:00 AM - 3:00 PM', '10:00 AM - 4:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa060', 'SGD\xa060', 'SGD\xa065']",3,3,Yes,"[7.0, 6.0, 6.0]","[['60'], ['60'], ['65']]"
https://www.dayuse.sg/hotels/singapore/orchard-hotel-singapore,"['8:00 AM - 8:00 PM', '8:00 AM - 3:00 PM', '9:00 AM - 5:00 PM', '11:00 AM - 7:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa0140', 'SGD\xa0130', 'SGD\xa0130', 'SGD\xa0120', 'SGD\xa0140']",5,5,Yes,"[12.0, 7.0, 8.0, 8.0, 6.0]","[['140'], ['130'], ['130'], ['120'], ['140']]"
https://www.dayuse.sg/hotels/singapore/parkroyal-on-beach-road,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/the-fullerton-bay-hotel-singapore-sg-clean,['9:00 AM - 9:00 PM'],"['SGD\xa0390', 'SGD\xa0450']",1,2,No,[12.0],"[['390'], ['450']]"
https://www.dayuse.sg/hotels/singapore/amara-sanctuary-resort-sentosa,"['9:00 AM - 3:00 PM', '3:00 PM - 10:00 PM']","['SGD\xa0150', 'SGD\xa0190']",2,2,Yes,"[6.0, 7.0]","[['150'], ['190']]"
